player_name,country_birth,country_fifa
Edgar Bernhardt,UdSSR,Kyrgyzstan
Hjörtur Hermannsson,Iceland,Iceland
Farshad Noor,Netherlands,Afghanistan
Milos Degenek,Croatia,Australia
Artem Bykov,Belarus,Belarus
Leonardo Koutris,Brazil,Greece
Ante Rebic,Croatia,Croatia
Shimelis Bekele,Ethiopia,Ethiopia
Sokratis Dioudis,Greece,Greece
Abdullah Al-Oaisher,,Saudi Arabia
Ahmed Alaaeldin,Egypt,Qatar
Ryan Christie,Scotland,Scotland
Jaba Jigauri,Georgia,Georgia
Simon Sluga,Croatia,Croatia
Andy Yiadom,England,Ghana
Marko Bakic,Yugoslavia (Republic),Montenegro
Francisco Calvo,Costa Rica,Costa Rica
Sheraldo Becker,Netherlands,Suriname
Sei Muroya,Japan,Japan
Naomichi Ueda,Japan,Japan
Danijel Petkovic,Yugoslavia (Republic),Montenegro
Maxime Crépeau,Canada,Canada
Tyler Pasher,Canada,Canada
Samuel Piette,Canada,Canada
Thomas Ulimwengu,Tanzania,Tanzania
Milad Intezar,Afghanistan,Afghanistan
Mitch Cooper,,Vanuatu
Karim Benzema,France,France
Carlos Gruezo,Ecuador,Ecuador
Jorman Aguilar,Panama,Panama
Pavelh Ndzila,,Congo
Julian Wade,Dominica,Dominica
Khoren Bayramyan,Armenia,Armenia
Alvas Powell,Jamaica,Jamaica
Gabriel Castellón,Chile,Chile
Paul Arriola,United States,United States
Kellyn Acosta,United States,United States
Sujan Perera,Sri Lanka,Sri Lanka
Jin-song Hong,,"Korea, North"
Chol-bom Kim,"Korea, North","Korea, North"
Myong-song Pak,,"Korea, North"
Predrag Rajkovic,Yugoslavia (Republic),Serbia
Corentin Tolisso,France,France
Markas Beneta,Lithuania,Lithuania
Deimantas Petravicius,Lithuania,Lithuania
Vykintas Slivka,Lithuania,Lithuania
Ovidijus Verbickas,Lithuania,Lithuania
Tristan Do,France,Thailand
Uros Djurdjevic,Yugoslavia (Republic),Montenegro
Alejandro Galindo,Guatemala,Guatemala
Khassa Camara,France,Mauritania
Rohit Chand,Nepal,Nepal
Kiran Chemjong,Nepal,Nepal
Mahmoud Genesh,Egypt,Egypt
Prak Mony Udom,Cambodia,Cambodia
Um Vichet,,Cambodia
Soukaphone Vongchiengkham,Laos,Laos
David Htan,Myanmar,Myanmar
Man-Fai Ho,Macao,Macao
Man-Hou Ho,Portugal,Macao
Munkh-Erdene Tuguldur,,Mongolia
Niki Torrão,South Africa,Macao
Vernon Wong,Hongkong,Macao
Jonas Mendes,Guinea-Bissau,Guinea-Bissau
Oussama Haddadi,Tunisia,Tunisia
Fred,Brazil,Brazil
Ryan Camenzuli,,Malta
Ferjani Sassi,Tunisia,Tunisia
Mohamed Dräger,Germany,Tunisia
Taron Voskanyan,Armenia,Armenia
Eden Charles,St. Lucia,St. Lucia
Teitur Gestsson,Faroe Islands,Faroe Islands
Tróndur Jensen,,Faroe Islands
Thein Than Win,,Myanmar
Chi-Hang Fong,,Macao
Igor Ivanovic,,Montenegro
Jackson Irvine,Australia,Australia
Leroy Sané,Germany,Germany
Nico Elvedi,Switzerland,Switzerland
Vladislavs Gutkovskis,Latvia,Latvia
Stanislav Lobotka,Slovakia,Slovakia
Ben Davies,Wales,Wales
John McGinn,Scotland,Scotland
Fahad Al-Muwallad,Saudi Arabia,Saudi Arabia
Abdullah Otayf,,Saudi Arabia
Marvin Ceballos,Guatemala,Guatemala
Jakub Swierczok,Poland,Poland
Kristoffer Olsson,Sweden,Sweden
Dixon Arroyo,Ecuador,Ecuador
Mario Pineida,Ecuador,Ecuador
Kuk-chol Jang,"Korea, North","Korea, North"
Il-gwan Jong,"Korea, North","Korea, North"
Kevin Briceño,Costa Rica,Costa Rica
Kensi Tangis,,Vanuatu
Joel Wakanumune,Neukaledonien,Neukaledonien
Carlos Chavarría,Nicaragua,Nicaragua
Ki-je Lee,"Korea, South","Korea, South"
Raziel García,Peru,Peru
Salem Al-Dawsari,Saudi Arabia,Saudi Arabia
Johan Venegas,Costa Rica,Costa Rica
Kendall Waston,Costa Rica,Costa Rica
Florian Grillitsch,Austria,Austria
Bastos,Angola,Angola
Ariel Rodríguez,Costa Rica,Costa Rica
Hafiz Nor,,Singapore
Mike Ott,Germany,Philippines
Charmaine Häusl,Seychelles,Seychelles
Jordan Botaka,Zaire,DR Congo
Andreas Christensen,Denmark,Denmark
Richard Rodríguez,Uruguay,Nicaragua
Federico Bernardeschi,Italy,Italy
Vukan Savicevic,Yugoslavia (Republic),Montenegro
Ralph Schon,,Luxembourg
Adama Ba,Mauritania,Mauritania
Daniel Natou,Vanuatu,Vanuatu
Ronald Warisan,Papua New Guinea,Papua New Guinea
André Silva,Portugal,Portugal
Jason Cunliffe,Guam,Guam
Filip Helander,Sweden,Sweden
Jingdao Jin,China,China
Kevin Mayi,France,Gabon
Wilfried Zahibo,France,Central African Republic
Moise Adilehou,France,Benin
Badavi Hüseynov,UdSSR,Azerbaijan
Xavier Vieira,Andorra,Andorra
Rudinilson,Guinea-Bissau,Guinea-Bissau
Cédric Hountondji,France,Benin
Jakkaphan Kaewprom,Thailand,Thailand
Bjorn Kristensen,Malta,Malta
Sylvio Ouassiero,Réunion,Madagascar
Stephen Pisani,,Malta
Heini Vatnsdal,,Faroe Islands
Abzal Beysebekov,Kazakhstan,Kazakhstan
Aleksey Shchetkin,UdSSR,Kazakhstan
Bauyrzhan Islamkhan,Kazakhstan,Kazakhstan
Askhat Tagybergen,UdSSR,Kazakhstan
Mihkel Ainsalu,Estonia,Estonia
Matvei Igonen,Estonia,Estonia
Märten Kuusk,Estonia,Estonia
Rauno Sappinen,Estonia,Estonia
Ananias Gebhardt,Namibia,Namibia
Larry Horaeb,Namibia,Namibia
Willy Stephanus,Namibia,Namibia
Bryan Cristante,Italy,Italy
Gafurzhan Suyumbaev,UdSSR,Kazakhstan
Tiberius Lombard,Namibia,Namibia
Caleb Ekuban,Italy,Ghana
Papu Gómez,Argentina,Argentina
Florin Nita,Romania,Romania
Ofri Arad,Israel,Israel
Sadio Mané,Senegal,Senegal
Gadi Kinda,Ethiopia,Israel
Jorge Aparicio,Guatemala,Guatemala
Leon Guwara,Germany,The Gambia
Frank Liivak,Estonia,Estonia
Hattan Bahebri,Saudi Arabia,Saudi Arabia
Hing-Wa Fung,United Kingdom,Hongkong
Ngai-Tong Lam,Macao,Macao
Kwun-Chung Leung,United Kingdom,Hongkong
Wai Wong,United Kingdom,Hongkong
Hing-Kit Leung,United Kingdom,Hongkong
Kin-Man Tong,United Kingdom,Hongkong
Ho-Chun Yuen,United Kingdom,Hongkong
Roberto,Brazil,Hongkong
Hélio,Brazil,Hongkong
James Ha,England,Hongkong
Yang Huang,China,Hongkong
Lok-Fung Ngan,United Kingdom,Hongkong
Kam-To Tsang,United Kingdom,Hongkong
Clayton,Brazil,Hongkong
Diego Bejarano,Bolivia,Bolivia
Farid Boulaya,France,Algeria
Hördur Askham,,Faroe Islands
Andrejs Ciganiks,Latvia,Latvia
Hedin Hansen,,Faroe Islands
Sölvi Vatnhamar,,Faroe Islands
Marvin Monterroza,El Salvador,El Salvador
Danny Ward,Wales,Wales
Eroll Zejnullahu,Germany,Kosovo
Chancel Mbemba,Zaire,DR Congo
Ryan Thomas,New Zealand,New Zealand
Andreas Cornelius,Denmark,Denmark
Jack Grealish,England,England
Steeve Furtado,France,Cape Verde
Sandro Wolfinger,,Liechtenstein
Manuel Battistini,,San Marino
Rodrigo Ramallo,Bolivia,Bolivia
Oleksandr Zinchenko,Ukraine,Ukraine
Andreas Karo,Cyprus,Cyprus
Charalampos Kyriakou,Cyprus,Cyprus
Prince Samolah,,Central African Republic
Endri Cekici,Albania,Albania
Erion Hoxhallari,Albania,Albania
Milan Skriniar,Slovakia,Slovakia
Adama Traoré,Spain,Spain
Ákos Kecskés,Hungary,Hungary
Taylan Antalyali,Turkey,Turkey
Romain Saïss,France,Morocco
Saman Ghoddos,Sweden,Iran
Joseph Lopy,Senegal,Senegal
Dor Peretz,Israel,Israel
Sairol Sahari,,Brunei Darussalam
Helmi Zambin,,Brunei Darussalam
Wardun Yussof,,Brunei Darussalam
Mattias Käit,Estonia,Estonia
Norlla Amiri,,Afghanistan
Mohamed Awad,New Zealand,Somalia
Marco Ilaimaharitra,France,Madagascar
Thomas Lemar,Guadeloupe,France
Rúnar Alex Rúnarsson,Iceland,Iceland
Konstantinos Panagi,Cyprus,Cyprus
Dominik Livakovic,Croatia,Croatia
Mario Pasalic,Germany,Croatia
Laisenia Raura,,Fiji
Remueru Tekiate,,Fiji
Jacques Wamytan,,Neukaledonien
Raymond Gunemba,,Papua New Guinea
Daniel Joe,,Papua New Guinea
Robin Quaison,Sweden,Sweden
Eduard Sobol,Ukraine,Ukraine
Jalal Hassan,Iraq,Iraq
Janis Ikaunieks,Latvia,Latvia
Tomas Svedkauskas,Lithuania,Lithuania
Arslanmurad Amanov,UdSSR,Turkmenistan
Georgiy Bushchan,Ukraine,Ukraine
Akhmet Ataev,UdSSR,Turkmenistan
Sayed Dhiya Saeed,Bahrain,Bahrain
Waleed Al-Hayam,Bahrain,Bahrain
Alfeus Handura,Namibia,Namibia
Tom Lockyer,Wales,Wales
Bono,Canada,Morocco
Ruslan Malinovskyi,Ukraine,Ukraine
Mekhti Dzhenetov,Russia,Azerbaijan
Kevin Kimani,Kenya,Kenya
Gervais Waye-Hive,,Seychelles
Dino Islamovic,Sweden,Montenegro
Mike Saofaiga Foai,,Samoa
Fineasi Palei,,Tonga
Dawid Kownacki,Poland,Poland
Oleg Zoteev,UdSSR,Uzbekistan
Brendan Galloway,Zimbabwe,Zimbabwe
Abdul Aziz Al-Muqbali,Oman,Oman
Faiyz Al-Rusheidi,Oman,Oman
Rafael Flores,Dominican Republic,Dominican Republic
Domingo Peralta,Dominican Republic,Dominican Republic
Gheorghe Anton,Moldova,Moldova
George Puscas,Romania,Romania
Davronzhon Ergashev,UdSSR,Tajikistan
Bogdan Mitrea,Romania,Romania
Akhtam Nazarov,Tajikistan,Tajikistan
Yoshitaka Komori,Japan,Chinese Taipei (Taiwan)
Mohamed Faisal,,Maldives
Ali Fasir,Maldives,Maldives
Malcolm Joseph,Dominica,Dominica
Chad Bertrand,Dominica,Dominica
Rabea Al-Lafi,,Libya
Seifeddine Jaziri,Tunisia,Tunisia
Dusty Good,United States,American Virgin Islands
Shanon Carmelia,Netherlands Antilles,Curacao
Djamel Eddine Benlamri,Algeria,Algeria
Baghdad Bounedjah,Algeria,Algeria
Didier Ndong,Gabon,Gabon
Jorge Corrales,Cuba,Cuba
Eugene Kirwan,Antigua and Barbuda,Antigua and Barbuda
Nazmi Faiz,Malaysia,Malaysia
Nakibou Aboubakari,France,Comoros
Darar Aboubaker,,Djibouti
Zé Varela,Sao Tome and Principe,Sao Tome and Principe
Telinho,Mozambique,Mozambique
Joazhifel Soares,Sao Tome and Principe,Sao Tome and Principe
Meddie Kagere,Uganda,Rwanda
Nilson Taty,,Sao Tome and Principe
Shomari Kapombe,Tanzania,Tanzania
Getaneh Kebede,Ethiopia,Ethiopia
Lei Li,China,China
Mohammed Saeid,Sweden,Eritrea
Xiang Ji,China,China
Abdulmuain Al-Jarshi,,Yemen
Mudir Abdurabu,Yemen,Yemen
Mohammed Ayash,,Yemen
Miguel Borja,Colombia,Colombia
Miguel Araujo,Peru,Peru
Ali Abdi,Tunisia,Tunisia
Dianzuo Liu,,China
Kiki Kouyaté,Mali,Mali
Clésio Baúque,Mozambique,Mozambique
Yonas Malede,Israel,Israel
Valeri Kichin,Kyrgyzstan,Kyrgyzstan
Ayrton Preciado,Ecuador,Ecuador
John Kamara,Sierra Leone,Sierra Leone
Nathan Sinkala,Zambia,Zambia
Djibril Sow,Switzerland,Switzerland
Alexandru Baluta,Romania,Romania
Theo Wharton,Wales,St. Kitts & Nevis
Dimitrios Pelkas,Greece,Greece
Catalin Carp,Moldova,Moldova
Amadou Moutari,Niger,Niger
Kabelo Dambe,Botsuana,Botsuana
Amier Kamal,,Sudan
Faisal Al-Badri,Libya,Libya
Sho Sasaki,Japan,Japan
Alireza Jahanbakhsh,Iran,Iran
Artur Miranyan,Armenia,Armenia
Leonel Justiniano,Bolivia,Bolivia
Zymer Bytyqi,Belgium,Kosovo
Shoja Khalilzadeh,Iran,Iran
Islambek Kuat,Kazakhstan,Kazakhstan
Luke Woodland,United Arab Emirates,Philippines
Daniel Amartey,Ghana,Ghana
Batyr Babaev,,Turkmenistan
Ata Geldiyev,Turkmenistan,Turkmenistan
Ikhlas Magtymov,Turkmenistan,Turkmenistan
Mekan Saparov,Turkmenistan,Turkmenistan
Vladislav Vasilyuchek,Belarus,Belarus
Otar Kakabadze,Georgia,Georgia
Domantas Simkus,,Lithuania
Gratas Sirgedas,Lithuania,Lithuania
Mateus Uribe,Colombia,Colombia
Connor Roberts,Wales,Wales
Gustavo Gómez,Paraguay,Paraguay
Haris Hajradinovic,Macedonia,Bosnia-Herzegovina
Lukas Klostermann,Germany,Germany
Erick Pulgar,Chile,Chile
Rafidine Abdullah,France,Comoros
Mouez Hassen,France,Tunisia
Setareki Hughes,Fiji,Fiji
David Browne,Papua New Guinea,Papua New Guinea
Cedric Decoire,,Neukaledonien
Geordy Gony,,Neukaledonien
Stephane Tein-Padom,,Neukaledonien
Phillip Mango,,Solomon Islands
Tevairoa Tehuritaua,,Tahiti
Tomas Holes,Czech Republic,Czech Republic
Hemaloto Polovili,,Tonga
Julio Tavarès,Cape Verde,Cape Verde
Michel Coulon,,Vanuatu
Tony Kaltack,,Vanuatu
Jérémie Boga,France,Cote d'Ivoire
Domen Crnigoj,Slovenia,Slovenia
Irfan Can Kahveci,Turkey,Turkey
Gastón Giménez,Argentina,Paraguay
Javille Brooks,,Anguilla
Kareem Burris,Grenada,Anguilla
Eric Abdul,Aruba,Aruba
Francois Croes,Aruba,Aruba
Ronald Gómez,Netherlands Antilles,Aruba
Erik Santos,Aruba,Aruba
Anas Zniti,Morocco,Morocco
Dale Eve,Bermuda,Bermuda
Hakim Ziyech,Netherlands,Morocco
Jean Meneses,Chile,Chile
Mark Ebanks,Cayman Islands,Cayman Islands
André McFarlane,Cayman Islands,Cayman Islands
Theron Wood,,Cayman Islands
Chimango Kayira,Malawi,Malawi
John Banda,Malawi,Malawi
Todor Nedelev,Bulgaria,Bulgaria
Patrik Hrosovsky,CSSR,Slovakia
Óscar Romero,Paraguay,Paraguay
Chunyu Dong,,China
Sumanya Purisai,Thailand,Thailand
Adisak Kraisorn,Thailand,Thailand
Jákup Johansen,,Faroe Islands
Binbin Liu,China,China
Amir Abedzadeh,Iran,Iran
Alex Lee,United States,Guam
James Rene,Haiti,Turks- and Caicosinseln
Carlos Septus,Haiti,British Virgin Islands
Trayon Bobb,Guyana,Guyana
Roger Lee,Bermuda,Bermuda
Zeiko Lewis,Bermuda,Bermuda
László Kleinheisler,Hungary,Hungary
Kavaia Rawaqa,,Fiji
Zibraaz Sahib,,Fiji
Antonio Vutov,Bulgaria,Bulgaria
Issiaga Sylla,Guinea,Guinea
Alexander Larín,El Salvador,El Salvador
Fabrice Ondoa,Cameroon,Cameroon
Mesud Mohammed,Ethiopia,Ethiopia
Lucas Cavallini,Canada,Canada
Elman Tagayev,UdSSR,Turkmenistan
Seidou Barazé,Benin,Benin
Djené,Togo,Togo
Jodel Dossou,Benin,Benin
José Gayà,Spain,Spain
Jerry Donga,,Solomon Islands
Micah Lea'alafa,Solomon Islands,Solomon Islands
Rolandas Baravykas,Lithuania,Lithuania
Kiril Despodov,Bulgaria,Bulgaria
Georgi Minchev,Bulgaria,Bulgaria
Saint Cyr Ngam-Ngam,Central African Republic,Central African Republic
Adam Najem,United States,Afghanistan
Anumanthan Kumar,Singapore,Singapore
Xinghan Wu,China,China
Romell Quioto,Honduras,Honduras
Lionel Brown,Jamaica,American Virgin Islands
Roman Yaremchuk,Ukraine,Ukraine
Kizito,Uganda,Uganda
Marko Jankovic,Yugoslavia (Republic),Montenegro
Lasha Dvali,Georgia,Georgia
Hendra Azam,,Brunei Darussalam
Karim Boudiaf,France,Qatar
Adi Said,,Brunei Darussalam
Najib Tarif,,Brunei Darussalam
Adrian Chama,Zambia,Zambia
Boualem Khoukhi,Algeria,Qatar
Marko Grujic,Yugoslavia (Republic),Serbia
Arbër Zeneli,Sweden,Kosovo
Julani Archibald,St. Kitts & Nevis,St. Kitts & Nevis
Fredrik Aursnes,Norway,Norway
Munir El Haddadi,Spain,Morocco
Itamar Nitzan,,Israel
Pa Konate,Sweden,Guinea
Ismaeel Mohammed,Qatar,Qatar
Konrad Laimer,Austria,Austria
Stefan Posch,Austria,Austria
Xaver Schlager,Austria,Austria
Junling Yan,China,China
Diego Wayar,Bolivia,Bolivia
Pyry Soiri,Finland,Finland
Wilder Cartagena,Peru,Peru
Sergio Peña,Peru,Peru
Harry Panayiotou,England,St. Kitts & Nevis
Kayrat Zhyrgalbek uulu,Kyrgyzstan,Kyrgyzstan
Abdul Rahman Baba,Ghana,Ghana
Carlos Akapo,Spain,Equatorial Guinea
N'Golo Kanté,France,France
Luke Gambin,England,Malta
Gonçalo Guedes,Portugal,Portugal
Rúben Neves,Portugal,Portugal
Adil Khan,India,India
Alex Gogic,Cyprus,Cyprus
Lisandro Semedo,Portugal,Cape Verde
Puni Samuelu,,American Samoa
Philipp Lienhart,Austria,Austria
Fabinho,Brazil,Brazil
Atanas Iliev,Bulgaria,Bulgaria
Karol Linetty,Poland,Poland
Jonte Smith,Bermuda,Bermuda
Anthony van den Hurk,Netherlands,Curacao
Per Kristian Bratveit,Norway,Norway
Morten Thorsby,Norway,Norway
Sos Souhana,Cambodia,Cambodia
Mark Hartmann,England,Philippines
Milos Raickovic,,Montenegro
Joaquín Correa,Argentina,Argentina
Michael Ngadeu,Cameroon,Cameroon
Valentin Antov,Bulgaria,Bulgaria
João Mário,Guinea-Bissau,Guinea-Bissau
Aleksandar Boljevic,Yugoslavia (Republic),Montenegro
Igor Vujacic,Yugoslavia (Republic),Montenegro
Marc Rebés,Andorra,Andorra
Fabrice Twagizimana,,Rwanda
Marco Bernardi,San Marino,San Marino
Clifton Miheso,Kenya,Kenya
Ridgeciano Haps,Netherlands,Suriname
Mike Azira,Uganda,Uganda
Wout Weghorst,Netherlands,Netherlands
Salum Abubakar Salum,,Tanzania
Jonas Mkude,,Tanzania
Yuri Dyupin,UdSSR,Russia
Pedro Miguel,Portugal,Qatar
Alessandro Golinucci,,San Marino
Jordan Adéoti,France,Benin
Farizal Marlias,Malaysia,Malaysia
Carli de Murga,Spain,Philippines
Abdou Diallo,France,Senegal
Ali Ghorbani,Iran,Azerbaijan
Alireza Beiranvand,Iran,Iran
Suently Alberto,Netherlands,Curacao
Elson Hooi,Netherlands Antilles,Curacao
Edvinas Gertmonas,Lithuania,Lithuania
Rimvydas Sadauskas,Lithuania,Lithuania
Kriss Karklins,Latvia,Latvia
Daniel Romanovskij,Lithuania,Lithuania
Darwin Cerén,El Salvador,El Salvador
Brandon Fernandes,India,India
Yaseen Al-Bakhit,Jordan,Jordan
Ali Al-Boleahi,Saudi Arabia,Saudi Arabia
Muhannad Shanqeeti,,Saudi Arabia
Gerelt-Od Bat-Orgil,,Mongolia
Ary Papel,Angola,Angola
Paízo,,Angola
Jamie Allen,England,Montserrat
Stian Gregersen,Norway,Norway
Hongbo Yin,China,China
Vladislavs Fjodorovs,Latvia,Latvia
Raivis Jurkovskis,,Latvia
Thomas Partey,Ghana,Ghana
Guélor Kanga,Gabon,Gabon
La'Vere Corbin-Ong,England,Malaysia
Nélson Semedo,Portugal,Portugal
Salomon Nirisarike,Rwanda,Rwanda
Kenan Piric,Bosnia-Herzegovina,Bosnia-Herzegovina
Mikhail Gabyshev,UdSSR,Kazakhstan
Brandley Kuwas,Netherlands,Curacao
Ondrej Duda,Slovakia,Slovakia
Zinedine Ferhat,Algeria,Algeria
Aïssa Laïdouni,France,Tunisia
Keagan Dolly,South Africa,South Africa
Simon Deli,Cote d'Ivoire,Cote d'Ivoire
Andrey Solovey,Belarus,Belarus
Lukas Masopust,Czech Republic,Czech Republic
Trezeguet,Egypt,Egypt
Jorge Flores,Bolivia,Bolivia
Danny Bejarano,Bolivia,Bolivia
Nasser Chamed,France,Comoros
Andrew Robertson,Scotland,Scotland
Rui Silva,Portugal,Portugal
Georgios Giakoumakis,Greece,Greece
Rodolfo Pizarro,Mexico,Mexico
Hazzuwan Halim,Singapore,Singapore
Alhaji Kamara,Sierra Leone,Sierra Leone
Jawad El Yamiq,Morocco,Morocco
Sheldon Holder,Guyana,Guyana
Edson Castillo,Venezuela,Venezuela
Hachim Arcia,Trinidad and Tobago,Trinidad and Tobago
Denis Bouanga,France,Gabon
Bauyrzhan Baytana,Kazakhstan,Kazakhstan
Emil Balayev,Russia,Azerbaijan
Léo Dubois,France,France
Ozan Tufan,Turkey,Turkey
Ibrahim Amada,Madagascar,Madagascar
Shenchao Wang,China,China
Ghayas Zahid,Norway,Norway
Piqueti,Guinea-Bissau,Guinea-Bissau
Soufiane Chakla,Morocco,Morocco
Famara Diédhiou,Senegal,Senegal
Ihlas Bebou,Togo,Togo
Yasser Ibrahim,,Egypt
Mohamed Darwish,Palästina,Palästina
Breel Embolo,Cameroon,Switzerland
Sung-yun Gu,"Korea, South","Korea, South"
Rafa Silva,Portugal,Portugal
Ederson,Brazil,Brazil
Duje Caleta-Car,Croatia,Croatia
Alexander Sörloth,Norway,Norway
Mehdi Tahrat,France,Algeria
Steve Mounié,Benin,Benin
Keita Baldé,Spain,Senegal
Ferdinando Apap,,Malta
Nadjim Abdou,France,Comoros
Ahmed Reda Tagnaouti,Morocco,Morocco
Liam Walker,Gibraltar,Gibraltar
Steve Mandanda,Zaire,France
Przemyslaw Frankowski,Poland,Poland
Adam Marusic,Yugoslavia (Republic),Montenegro
Lukas Haraslin,Slovakia,Slovakia
Denis Vavro,Slovakia,Slovakia
Stas Pokatilov,Kazakhstan,Kazakhstan
Bernard Berisha,Jugoslawien (SFR),Kosovo
Bruno Fernandes,Portugal,Portugal
Alex Meret,Italy,Italy
Ales Mandous,Czech Republic,Czech Republic
Gervane Kastaneer,Netherlands,Curacao
Diego Eli,Brazil,Hongkong
Emmanuel Gyasi,Italy,Ghana
Luke Montebello,,Malta
Karen Muradyan,Armenia,Armenia
Bernardo Silva,Portugal,Portugal
Ludovic Clemente,Andorra,Andorra
Ariel Sibanda,,Zimbabwe
Gabadinho Mhango,Malawi,Malawi
Florian Loshaj,Yugoslavia (Republic),Kosovo
Ales Mateju,Czech Republic,Czech Republic
Patrik Schick,Czech Republic,Czech Republic
Martin Miller,Estonia,Estonia
Saleh Al-Shehri,Saudi Arabia,Saudi Arabia
Vozinha,Cape Verde,Cape Verde
Juan Musso,Argentina,Argentina
Daniel Wilson,Guyana,Guyana
Namiq Alasgarov,Azerbaijan,Azerbaijan
Shahriyar Aliyev,Azerbaijan,Azerbaijan
Josh Cullen,England,Ireland
Glen Kamara,Finland,Finland
Manolis Saliakas,Greece,Greece
Fernando León,Ecuador,Ecuador
Jan Bednarek,Poland,Poland
Lászlo Bénes,Slovakia,Slovakia
Kingsley Coman,France,France
Sullay Kaikai,England,Sierra Leone
Andre Blake,Jamaica,Jamaica
Gabriel Barbosa,Brazil,Brazil
Pelly-Ruddock Mpanzu,England,DR Congo
Nikolay Mihaylov,Bulgaria,Bulgaria
Jon Gorenc Stankovic,Slovenia,Slovenia
Nemanja Radonjic,Yugoslavia (Republic),Serbia
Jan Repas,Slovenia,Slovenia
Takuma Asano,Japan,Japan
Michael Battistini,,San Marino
Andrea Grandoni,San Marino,San Marino
Fabio Ramon Tomassini,San Marino,San Marino
Matteo Zavoli,,San Marino
Max Llovera,Andorra,Andorra
Aarón Sánchez,Spain,Andorra
Rubén Belima,Spain,Equatorial Guinea
Diego Llorente,Spain,Spain
Meinhard Olsen,Faroe Islands,Faroe Islands
Konstantinos Sotiriou,Cyprus,Cyprus
Vladimir Jovovic,Yugoslavia (Republic),Montenegro
Dusan Lagator,Yugoslavia (Republic),Montenegro
Momcilo Raspopovic,Yugoslavia (Republic),Montenegro
Samir Nabi,England,Pakistan
José Kanté,Spain,Guinea
Kion Lee,,Anguilla
Cain Attard,,Malta
Henrik Pürg,Estonia,Estonia
Chadrac Akolo,Zaire,DR Congo
Edimilson Fernandes,Switzerland,Switzerland
Christoffer Mafoumbi,France,Congo
Jemal Tassew,Ethiopia,Ethiopia
Maikel Reyes,Cuba,Cuba
Christopher Martins Pereira,Luxembourg,Luxembourg
Claudio Baeza,Chile,Chile
Ibrahim Mansaray,Sierra Leone,Sierra Leone
Giorgian de Arrascaeta,Uruguay,Uruguay
Nikola Vasilj,Bosnia-Herzegovina,Bosnia-Herzegovina
Ricardo Batista,Portugal,Angola
Christopher Oikonomidis,Australia,Australia
Rhys Browne,England,Antigua and Barbuda
Pawel Dawidowicz,Poland,Poland
Dániel Gazdag,Hungary,Hungary
Sixten Mohlin,Netherlands,Sweden
Noah Sonko Sundberg,Sweden,The Gambia
Fredrik Jensen,Finland,Finland
Jordan Jones,England,Northern Ireland
Saeid Ezatolahi,Iran,Iran
Hossein Kanaani,Iran,Iran
Youri Tielemans,Belgium,Belgium
Guillermo Maripán,Chile,Chile
Evgeni Shevchenko,Belarus,Belarus
Nicolae Cebotari,Moldova,Moldova
Tariqe Fosu,England,Ghana
Evgheni Oancea,Moldova,Moldova
Akhlidin Israilov,Kyrgyzstan,Kyrgyzstan
Emilio Martin,,Namibia
Christian Fassnacht,Switzerland,Switzerland
Collins Fai,Cameroon,Cameroon
Alexander Djiku,France,Ghana
José María Giménez,Uruguay,Uruguay
Robin Björnholm-Jatta,Norway,The Gambia
Seny Dieng,Switzerland,Senegal
Grigol Chabradze,,Georgia
Jimmy Tabidze,Georgia,Georgia
Nika Kacharava,Cyprus,Georgia
Saba Lobjanidze,Georgia,Georgia
Liban Abdulahi,Netherlands,Somalia
Zeki Celik,Turkey,Turkey
Enes Ünal,Turkey,Turkey
János Hahn,Hungary,Hungary
Claudiu Keseru,Romania,Romania
Eric Veiga,Luxembourg,Luxembourg
Florian Bohnert,Luxembourg,Luxembourg
Robert Taylor,Finland,Finland
Sam Johnson,Liberia,Liberia
Zhongguo Chi,China,China
Ken Sema,Sweden,Sweden
Ivaylo Chochev,Bulgaria,Bulgaria
Fabio Wolfinger,Liechtenstein,Liechtenstein
Aymen Mouelhi,Spain,Gibraltar
Cristian Avram,Moldova,Moldova
Amando Moreno,United States,El Salvador
Tyrone Mings,England,England
Abat Aymbetov,Kazakhstan,Kazakhstan
Elliot Collier,New Zealand,New Zealand
Robin Betancourth,,Guatemala
Gyasi Zardes,United States,United States
Lawrence Ati Zigi,Ghana,Ghana
Johann Obiang,France,Gabon
Roman Murtazaev,Kazakhstan,Kazakhstan
Tan Truong Bui,Vietnam,Vietnam
Jens Hofer,Switzerland,Liechtenstein
Taulant Seferi,Macedonia,Albania
Salvatore Sirigu,Italy,Italy
Henry García,Nicaragua,Nicaragua
Guilherme Afonso,Angola,Angola
Sun Menahem,Israel,Israel
Michal Helik,Poland,Poland
Aleksey Miranchuk,Russia,Russia
Achilleas Poungouras,Greece,Greece
Awer Mabil,Kenya,Australia
Yahya Jabrane,Morocco,Morocco
Rodrigo de Paul,Argentina,Argentina
Scott McKenna,Scotland,Scotland
Emery Welshman,Canada,Guyana
Nicolò Barella,Italy,Italy
Ragim Sadykhov,Russia,Azerbaijan
Damir Sadikovic,Germany,Bosnia-Herzegovina
Yanis Karabelyov,Bulgaria,Bulgaria
Alex Rufer,Switzerland,New Zealand
Vedat Muriqi,Yugoslavia (Republic),Kosovo
José Guillermo Ortiz,Costa Rica,Costa Rica
Bruno Petkovic,Croatia,Croatia
